is_doh,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fazzel,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,4960,1458,13,15,28,0.2939516129032258,0.8666666666666667,163.46200000000005,112.15384615384615,330.6666666666667,5523.360000000002,235023.2839506172,93.0,258.0,6.4460000000000015,45.288923076923076,82.698,0,0,1.0,0.0,-2,-3,-1
True,4982,1317,9,9,18,0.26435166599759136,1.0,28573.394,146.33333333333334,553.5555555555555,35042.0,439183.6,352.0,1460.0,2.464,25.011142857142854,47.542,0,0,1.0,0.0,0,-1,-1
True,4415,1147,10,12,22,0.2597961494903737,0.8333333333333334,110.224,114.7,367.91666666666674,6193.6,235105.04000000004,203.0,483.0,2.156,40.575555555555546,82.84200000000001,0,0,1.0,0.2528391810956358,-1,0,1
True,4458,1143,10,11,21,0.25639300134589504,0.9090909090909092,95.892,114.3,405.27272727272725,6104.96,225367.36,201.0,518.0,4.484,37.007333333333335,72.52799999999998,0,0,1.0,0.2623540166818428,-1,0,1
True,1031,859,10,8,18,0.8331716779825412,1.25,20110.096,85.9,128.875,285.67346938775506,7729.360000000002,56.0,206.0,0.5479999999999999,8474.116545454546,20108.714,0,0,1.0,0.3105735929261087,2,-1,-1
True,539,423,6,5,11,0.7847866419294991,1.2,9896.162,70.5,107.8,338.0,12178.666666666664,60.0,39.0,1.938,7905.839600000001,9894.254,0,0,1.0,-0.04079951036153138,0,1,-1
True,337,271,3,3,6,0.8041543026706232,1.0,16.002,90.33333333333331,112.33333333333331,380.25,6006.25,75.5,108.5,0.182,7.501333333333334,11.178,0,0,1.0,0.0,0,0,0
True,1904,1334,15,15,30,0.7006302521008403,1.0,11697.828000000001,88.93333333333334,126.93333333333334,320.64,10653.44,69.5,99.0,0.12,8346.712526315789,11696.9,0,0,1.0,0.4480416376030077,2,-1,-1
True,480,80,1,6,7,0.16666666666666666,0.16666666666666666,32271.31,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,4417,1147,10,12,22,0.2596785148290695,0.8333333333333334,102.236,114.7,368.08333333333326,6193.6,235494.8,203.0,483.0,2.314,36.96977777777778,78.3,0,0,1.0,0.2533612247913181,-1,0,1
True,6509,1630,12,14,26,0.2504224919342449,0.8571428571428571,100.566,135.83333333333334,464.9285714285714,31006.56,250071.484375,99.0,763.0,19.206,34.30133333333333,61.592,0,0,1.0,0.5428532334945482,-2,1,-2
